#{"t_start": 1672722784.839178, "env_id": null}
r,l,t
-3.7,386,9777.616993
-2.95,401,9784.536339
186.7,3774,9904.549898
-4.5,370,9911.125045
313.85,6277,10031.238535
204.3,4046,10151.286323
316.25,6265,10271.277183
240.05,4661,10391.293461
-3.05,399,10398.204202
-4.3,374,10404.683901
-7.3,374,10411.210734
-3.65,387,10417.929876
271.8,5296,10537.967809
-3.9,382,10544.595131
-3.4,392,10551.410625
245.5,4710,10671.415197
-3.75,385,10678.091863
-4.1,378,10684.656892
-3.15,397,10691.581921
-4.4,372,10698.038167
197.35,3807,10828.108076
313.55,6271,10948.132544
216.25,4245,11068.166041
245.3,4766,11188.187138
-4.45,371,11194.61342
-4.5,370,11201.05386
-4.8,364,11207.918374
193.65,3873,11327.945805
-2.9,402,11334.843969
267.05,5201,11454.886228
-4.0,380,11461.446557
-3.0,400,11468.370544
194.7,3874,11588.410853
-4.25,375,11594.87116
289.35,5647,11714.913271
-4.45,371,11721.354899
188.4,3728,11841.318535
-2.9,402,11848.258973
310.9,6158,11968.260574
239.6,4732,12088.274591
-2.95,401,12095.234097
-3.4,392,12102.159434
-4.5,370,12108.610245
-3.15,397,12115.503233
265.55,5171,12235.517166
-4.1,378,12242.006239
-3.45,391,12248.634971
185.5,3690,12368.637636
-3.15,397,12375.494052
243.6,4852,12495.520336
-4.35,373,12501.960359
-6.65,387,12508.644563
-3.05,399,12515.551687
-3.1,398,12522.470777
240.4,4668,12642.481446
-4.1,378,12649.041927
-4.4,372,12655.490966
-3.6,388,12662.220032
211.4,4268,12793.676226
313.35,6167,12913.6841
212.55,4151,13033.722987
268.85,5237,13153.741765
-3.8,384,13160.608241
-4.0,380,13167.213873
195.7,3874,13287.256088
-3.3,394,13294.085374
270.8,5276,13414.111226
-4.45,371,13420.555184
-3.1,398,13427.472402
239.2,4684,13547.485185
-4.25,375,13553.948779
-3.25,395,13560.839809
-3.65,387,13567.551901
-4.35,373,13574.01717
268.9,5238,13694.037333
-3.35,393,13700.802367
-4.3,374,13707.273199
190.05,3781,13827.28822
-3.15,397,13834.204202
272.3,5346,13954.213036
-3.1,398,13961.124535
-3.3,394,13967.965528
232.7,4554,14087.982225
-4.45,371,14094.431829
-3.9,382,14101.076454
-3.05,399,14107.987003
-3.0,400,14114.895874
240.3,4726,14234.904507
257.55,4951,14354.920032
-4.0,380,14361.519644
231.5,4670,14504.436219
-6.0,400,14511.348045
-3.1,398,14518.232859
-2.95,401,14525.116369
-3.2,396,14532.012885
230.4,4588,14652.146834
-2.95,401,14659.047917
-3.15,397,14665.914284
-3.95,381,14672.538047
-3.2,396,14679.422994
191.9,3818,14799.462632
-4.45,371,14805.911028
273.3,5366,14925.94226
-3.65,387,14932.620808
-3.1,398,14939.473779
193.45,3749,15059.491825
-4.25,375,15065.948034
323.7,6274,15189.690698
-3.2,396,15196.581877
-3.2,396,15203.476872
-3.55,389,15210.260195
247.6,4952,15330.280033
278.55,5371,15462.362085
-4.4,372,15468.8247
-3.1,398,15475.736846
233.95,4539,15595.752414
-3.35,393,15602.586231
-3.45,391,15609.368215
-3.2,396,15616.250166
-4.45,371,15622.685221
243.8,4676,15742.69534
-3.15,397,15749.562936
-3.15,397,15756.466378
-3.25,395,15763.325972
304.25,6105,15883.340403
191.55,3871,16003.368919
-3.35,393,16010.172223
316.45,6269,16130.178444
216.45,4189,16253.505931
-3.2,396,16260.370838
-4.1,378,16266.935986
-3.15,397,16273.832236
-3.1,398,16280.750194
-3.4,392,16287.548373
231.35,4487,16418.857436
-3.3,394,16425.686161
-3.75,385,16432.218849
-7.25,375,16438.667826
-4.25,375,16445.179631
238.15,4703,16565.205233
-4.45,371,16571.634995
-3.1,398,16578.567774
-4.05,379,16585.1214
-3.1,398,16592.046378
236.05,4521,16712.047455
-4.4,372,16718.50891
-3.05,399,16725.424074
-3.25,395,16732.314863
-3.7,386,16739.013902
312.45,6149,16885.993764
315.95,6219,17006.005441
241.25,4625,17126.023176
-3.6,388,17132.726187
-3.3,394,17139.564002
-7.4,372,17146.04263
-3.2,396,17152.927313
270.05,5261,17272.951797
-3.55,389,17279.667365
-3.2,396,17286.545771
240.55,4711,17406.57542
-2.9,402,17413.528584
-3.7,386,17420.248347
-4.25,375,17426.718157
-6.25,395,17433.539228
243.4,4728,17553.583494
-3.2,396,17560.46353
252.85,4937,17680.472669
264.5,5230,17809.597576
-2.85,403,17816.565939
-3.0,400,17823.501433
314.15,6283,17943.517637
214.3,4186,18063.529768
271.75,5295,18183.545478
-4.0,380,18190.118247
-2.95,401,18197.026329
233.75,4575,18317.060722
-4.55,369,18323.480231
-3.8,384,18330.160834
-4.25,375,18336.651867
-3.05,399,18343.563748
240.2,4744,18463.588425
-3.45,391,18470.33855
-4.2,376,18476.800502
-3.45,391,18483.592604
-3.1,398,18490.500849
244.5,4690,18610.510679
-3.05,399,18617.41208
-3.3,394,18624.236658
-7.45,371,18630.680012
232.15,4663,18750.699646
-3.25,395,18757.565782
-3.65,387,18764.301086
-4.55,369,18770.719995
-3.45,391,18777.496021
234.7,4694,18897.506243
-3.05,399,18904.426029
-3.25,395,18911.262126
-2.95,401,18918.184337
-6.35,393,18925.003054
239.15,4663,19045.015482
-4.35,373,19051.511417
-3.25,395,19058.38173
-3.8,384,19065.030824
-3.2,396,19071.921956
264.3,5146,19191.984298
-3.15,397,19198.886247
192.15,3723,19318.932285
-3.95,381,19325.546096
-3.45,391,19332.340363
236.5,4710,19452.379047
-4.3,374,19458.826852
-2.95,401,19465.684197
249.8,4916,19585.695202
272.95,5259,19714.908109
-4.5,370,19721.330544
-3.1,398,19728.239132
235.8,4656,19848.252023
-2.75,405,19855.209502
-3.1,398,19862.135504
-3.15,397,19869.038871
-3.55,389,19875.802837
217.75,4235,19998.15674
-3.2,396,20005.04926
-3.7,386,20011.783096
-4.25,375,20018.284665
-3.1,398,20025.187761
-4.6,368,20031.59496
272.5,5310,20151.65726
-1.95,421,20158.943
-6.15,397,20165.840134
217.95,4219,20285.903936
318.1,6162,20407.603249
247.35,4947,20527.622219
-4.35,373,20534.120311
-3.6,388,20540.856281
-3.25,395,20547.808375
245.65,4713,20667.81388
-4.2,376,20674.246208
-2.6,408,20681.131011
-3.4,392,20687.966867
242.8,4856,20807.986179
-4.4,372,20814.433837
-4.45,371,20820.866032
-4.25,375,20827.397193
-3.7,386,20834.116941
234.75,4495,20954.127528
-2.95,401,20961.018292
-4.1,378,20967.540811
-0.6,388,20974.268103
-4.3,374,20980.744291
301.6,5932,21121.474431
-3.5,390,21128.250138
236.65,4593,21248.454375
-5.5,350,21254.971432
-3.75,385,21261.527396
-4.25,375,21268.238635
-3.55,389,21274.898905
244.4,4688,21394.90888
-4.45,371,21401.368008
-3.5,390,21408.153573
-3.05,399,21415.044791
313.5,6290,21535.047949
190.25,3745,21655.063252
-2.85,403,21662.002846
291.55,5731,21782.023222
-3.65,387,21788.722357
242.35,4747,21908.768076
-3.9,382,21915.423459
-2.95,401,21922.382992
-4.4,372,21928.820446
-3.65,387,21935.543857
235.3,4566,22055.547514
190.85,3797,22175.568413
-3.1,398,22182.478319
-3.35,393,22189.301827
-3.8,384,22195.970898
-2.95,401,22202.925409
243.3,4886,22326.178502
-3.3,394,22333.009699
-3.1,398,22339.892131
-4.1,378,22346.432908
-3.85,383,22353.075941
319.55,6191,22475.154357
-3.15,397,22482.063776
-3.5,390,22488.798896
-3.45,391,22495.586324
-2.9,402,22502.535466
-4.05,379,22509.108975
215.75,4175,22629.111318
239.5,4650,22749.119222
-2.55,409,22756.104383
-2.75,405,22763.07482
-4.35,373,22769.534689
194.8,3876,22889.538684
-3.1,398,22896.411432
309.55,6011,23039.127664
238.45,4729,23159.16339
-3.2,396,23166.03017
-3.75,385,23172.803668
-3.1,398,23179.725391
-3.3,394,23186.573536
217.5,4210,23308.468093
-4.25,375,23314.962824
-3.15,397,23321.8253
-3.5,390,23328.596378
-3.9,382,23335.213059
-3.45,391,23341.989101
317.5,6150,23461.994806
243.4,4668,23582.013822
-3.15,397,23588.901055
-3.2,396,23595.793108
-3.7,386,23602.635772
-3.15,397,23609.536067
236.35,4587,23729.573886
-3.2,396,23736.421382
250.8,4916,23856.431212
262.0,5260,23989.262618
-3.1,398,23996.175909
-4.25,375,24002.639784
-3.45,391,24009.440094
268.85,5237,24129.5675
-4.05,379,24136.148521
-7.5,370,24142.595645
192.15,3783,24262.633211
-3.2,396,24269.511513
274.1,5342,24389.520236
-3.75,385,24396.171605
-3.15,397,24403.070804
240.2,4704,24523.117033
-4.45,371,24529.554453
-3.85,383,24536.211286
-2.75,405,24543.155521
-2.85,403,24549.965962
319.25,6185,24673.165862
217.4,4208,24793.210761
-4.4,372,24799.671126
-3.85,383,24806.296143
-4.25,375,24812.813978
-3.65,387,24819.530819
-3.15,397,24826.421045
199.7,3974,24951.830849
320.65,6273,25071.823333
193.35,3727,25192.698391
-4.5,370,25199.139342
251.3,4886,25319.171646
-3.8,384,25325.816292
-3.1,398,25332.730192
-3.25,395,25339.58982
216.55,4191,25462.846432
-3.3,394,25469.684367
-4.45,371,25476.123511
